央视卫视,#genre#
CCTV11,http://ik6.iptv8.net:8888/rtp/225.1.4.215:1268
CCTV12,http://ik6.iptv8.net:8888/rtp/225.1.4.79:1108
CCTV13,http://ik6.iptv8.net:8888/rtp/225.1.4.113:1293
CCTV14,http://ik6.iptv8.net:8888/rtp/225.1.4.80:1109
CCTV15,http://ik6.iptv8.net:8888/rtp/225.1.4.216:1269
CCTV16,http://ik6.iptv8.net:8888/rtp/225.1.5.46:1356
CCTV17,http://ik6.iptv8.net:8888/rtp/225.1.4.226:2506



CCTV1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$河南联通
CCTV2,http://115.60.241.249:2000/rtp/225.1.4.74:1103$河南联通
CCTV3,http://115.60.241.249:2000/rtp/225.1.4.158:1194$河南联通
CCTV4,http://115.60.241.249:2000/rtp/225.1.5.30:1333$河南联通
CCTV5,http://115.60.241.249:2000/rtp/225.1.4.159:1195
CCTV6,http://115.60.241.249:2000/rtp/225.1.4.160:1196
CCTV7,http://115.60.241.249:2000/rtp/225.1.4.76:1105
CCTV8,http://115.60.241.249:2000/rtp/225.1.4.161:1197
CCTV9,http://115.60.241.249:2000/rtp/225.1.4.77:1106
CCTV10,http://115.60.241.249:2000/rtp/225.1.4.78:1107
CCTV11,http://115.60.241.249:2000/rtp/225.1.4.215:1268
CCTV12,http://115.60.241.249:2000/rtp/225.1.4.79:1108
CCTV13,http://115.60.241.249:2000/rtp/225.1.4.113:1293
CCTV14,http://115.60.241.249:2000/rtp/225.1.4.80:1109
CCTV15,http://115.60.241.249:2000/rtp/225.1.4.216:1269
CCTV16,http://115.60.241.249:2000/rtp/225.1.5.46:1356
CCTV17,http://115.60.241.249:2000/rtp/225.1.4.226:2506





CCTV1,http://1.196.152.60:2000/rtp/239.16.20.1:10010$河南电信
CCTV2,http://1.196.152.60:2000/rtp/239.16.20.2:10020$河南电信
CCTV3,http://1.196.152.60:2000/rtp/239.16.20.3:10030$河南电信
CCTV4,http://1.196.152.60:2000/rtp/239.16.20.4:10040$河南电信
CCTV5,http://1.196.152.60:2000/rtp/239.16.20.53:10530
CCTV6,http://1.196.152.60:2000/rtp/239.16.20.6:10060
CCTV7,http://1.196.152.60:2000/rtp/239.16.20.51:10510
CCTV8,http://1.196.152.60:2000/rtp/239.16.20.8:10080
CCTV9,http://1.196.152.60:2000/rtp/239.16.20.9:10090
CCTV10,http://1.196.152.60:2000/rtp/239.16.20.10:10100
CCTV11,http://1.196.152.60:2000/rtp/239.16.20.11:10110
CCTV12,http://1.196.152.60:2000/rtp/239.16.20.12:10120
CCTV13,http://1.196.152.60:2000/rtp/239.16.20.13:10130
CCTV14,http://1.196.152.60:2000/rtp/239.16.20.14:10140
CCTV15,http://1.196.152.60:2000/rtp/239.16.20.15:10150
CCTV16,http://1.196.152.60:2000/rtp/239.16.20.34:10340
CCTV17,http://1.196.152.60:2000/rtp/239.16.20.7:10070








CCTV1,https://tv.iill.top/migu/cctv1
CCTV2,https://tv.iill.top/migu/cctv2
CCTV3,https://tv.iill.top/migu/cctv3
CCTV4,https://tv.iill.top/migu/cctv4
CCTV5,https://tv.iill.top/migu/cctv5
CCTV6,https://tv.iill.top/migu/cctv6
CCTV7,https://tv.iill.top/migu/cctv7
CCTV8,https://tv.iill.top/migu/cctv8
CCTV9,https://tv.iill.top/migu/cctv9
CCTV10,https://tv.iill.top/migu/cctv10
CCTV11,https://tv.iill.top/migu/cctv11
CCTV12,https://tv.iill.top/migu/cctv12
CCTV13,https://tv.iill.top/migu/cctv13
CCTV14,https://tv.iill.top/migu/cctv14
CCTV15,https://tv.iill.top/migu/cctv15
CCTV16,https://tv.iill.top/migu/cctv16
CCTV17,https://tv.iill.top/migu/cctv17























怀旧剧场,http://x4b5tgke5a.nm001.z-j.top/zb/CCTV-HJJC.flv
怀旧剧场,http://huangfeiyan.top/zb/CCTV-HJJC.m3u8
怀旧剧场,http://1.95.63.93:1024/zb/CCTV-HJJC.m3u8


怀旧剧场,https://tv.iill.top/live/hjjc
怀旧剧场,https://www.sxtv.top/cctv.php?id=hjjc
怀旧剧场,http://dp.sxtv.top:88/live/gudou.php?id=hjjc













湖南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181358BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUds%2BUtPKX7dYKgp%2FtymOuOt9pHjY5eGh1%2F3MQt0stvVIffnHpm3K91ELxLBLxf9DE3IGliSDUqkfu%2BEzvoBJvtA
东方卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111131BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUaKz9fMrAi6%2FC6MZg8Mm9JQwoDIwMxbrlyyVy9x6ZDKnJ1LnEAwl4s1JgSBXbCxhRiWmveR7x9HhnhsF9G%2Bd4f8
北京卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181361BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUVKcU8XeU8C9ZEn2TN9C%2BRcwoDIwMxbrlyyVy9x6ZDKnfS6nBeQejvigwfjRd2x%2BU7thmluKAkd%2BIGySvIyq4AU
浙江卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111130BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUclW6AUI%2FSIO%2Bs%2F9KaqCfRAwoDIwMxbrlyyVy9x6ZDKnvfae09h%2Fzg38THB%2B%2FvaO%2BqCb7fDXq%2F%2BRzM2c4SN6TJM
江苏卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111129BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUcGtOwREJFyiNDdTdcs12AwwoDIwMxbrlyyVy9x6ZDKnBkF6L%2FLitKpXlc5tHW6%2BFmFsnQjgK5quHb1RYo8bFps
河南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QOuXozn3alq9%2BUx7ZLG1w9aOfw%2Ftj8uByLI%2F9b3T9xKHSKRmZDiwMOFotvfGaGd4Uw





深圳卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181362BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTYjXE4%2FzHcB4DvaRB5Fv5MwoDIwMxbrlyyVy9x6ZDKneDM0LfUyK1%2BahEGNL2DZu0fEvbcgscnXPl2IbJvqKAk
安徽卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3540416BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXv1bCET6%2FGP6LFvnNC2DgGVSARKsxkWGZw7vFUuOj2Qc9XJS6ezvAUx%2FdaE2fSJr3cdTmmqJgNdIzUOCi9%2BOyg

